,day,edges,num_infected,num_new_infections,num_new_removed,Average deaths,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
49,49,0,0,0,0,1.188800778345982,0.013650708394037826,0.06917589635907392,0.08485577403642462,0.30302142740044563,0.47224246475683046,0.26580158813695987
50,50,0,0,0,0,1.0911368140212991,0.012529256993697346,0.06349286485606598,0.07788458808231785,0.27812720255275747,0.43344616509863126,0.24396509770551011
51,51,0,0,0,0,0.9975848426834033,0.011455022602466705,0.05804910876897676,0.07120691333217545,0.25428111125865793,0.396283324753812,0.22304799956098043
52,52,0,0,0,0,0.9086875258530981,0.010434236469779876,0.05287620537955519,0.0648614845885198,0.23162147616364379,0.36096951206551464,0.20317162630735125
53,53,0,0,0,0,0.8248214269302874,0.009471222580998896,0.04799606677870733,0.058875180685344426,0.210244282045841,0.32765431410614554,0.18442017300198776
54,54,0,0,0,0,0.7462186476522613,0.008568646103569156,0.0434221988843431,0.053264568883482064,0.19020869087840525,0.29642993160310094,0.16684553480807024
55,55,0,0,0,0,0.6729880883548308,0.00772775751339481,0.03916093856844371,0.04803742241328078,0.1715424610004987,0.26733962442290593,0.15047206053385515
56,56,0,0,0,0,0.6051357068458229,0.006948625222525037,0.03521263251373699,0.04319416653892604,0.1542471110378363,0.2403857592613967,0.13530108227367746
57,57,0,0,0,0,0.542583346479607,0.006230351777325902,0.03157273281268763,0.03872922249332596,0.1383027191172572,0.21553728895941807,0.12131512513947314
58,58,0,0,0,0,0.4851858649998772,0.005571270544789941,0.028232793688793403,0.03463223012301449,0.12367228895268634,0.19273655681106344,0.10848173706447489
59,59,0,0,0,0,0.43274642435110233,0.004969121281699079,0.025181361205299766,0.030889139264275264,0.1103056471680289,0.17190537033009384,0.09675690742157102
60,60,0,0,0,0,0.38502990135073384,0.00442120412609148,0.022404753627467067,0.027483166987611145,0.09814286163362226,0.15295032854195503,0.08608806548867948
61,61,0,0,0,0,0.3417744536999185,0.003924512406931954,0.01988773444463868,0.024395623171557433,0.08711718960451073,0.13576741649743065,0.07641666646994857
62,62,0,0,0,0,0.3027013291977375,0.003475845280918365,0.017614083164944255,0.02160661067758242,0.07715757805704891,0.1202459019116703,0.06768038471834772
63,63,0,0,0,0,0.2675230419555341,0.003071901617949749,0.015567071086316435,0.019095608962588526,0.06819074777917292,0.10627158310587709,0.059814941839074584
64,64,0,0,0,0,0.23595006131665539,0.0027093568083546623,0.013729850522362128,0.016841951529358464,0.060142898354149016,0.09372944613203635,0.052755602251740426
65,65,0,0,0,0,0.20769617011873626,0.002384924290505637,0.012085766597747655,0.014825208395596319,0.05294107396409241,0.08250579330364505,0.04643837123351668
66,66,0,0,0,0,0.1824826515199901,0.0020954036271208067,0.010618600878138047,0.01302548494668071,0.04651423059828484,0.07248990638201086,0.040800931043250374
67,67,0,0,0,0,0.1600414600637178,0.0018377169178215706,0.009312755893318031,0.01142364828404742,0.04079404434713887,0.06357530625856977,0.03578334993343489
68,68,0,0,0,0,0.14011752480285877,0.0016089352453481694,0.00815338915519418,0.010001491620620537,0.03571549846110776,0.05566066785436673,0.03132859710122145
