,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
44,44,9078,472,0,0,0.0021168994845718143,0.012571608869334144,0.012295122549253834,0.05659814457964134,0.0804679435251336,0.013393659911227826
45,45,9078,472,0,0,0.002135835247369524,0.012605292453844636,0.012485412009809217,0.057090891913604176,0.08098372366028654,0.01321459855620705
46,46,9078,472,0,0,0.002132791202942668,0.012517484385143897,0.01254323237336233,0.05699814851518075,0.08068192250203535,0.012913328061218095
47,47,9078,472,0,0,0.0021093347651723092,0.012318296456753884,0.012475442609296516,0.056362155218497724,0.079626247666745,0.012508918425383458
48,48,9078,472,0,0,0.0020675216795709816,0.012020220397718011,0.012292470274106657,0.05523789728379607,0.07789720158653428,0.01202046511151647
49,49,9078,472,0,0,0.002009720618592737,0.011637186696557987,0.012007208651694579,0.053688528619344214,0.07558571358169308,0.01146639557200132
50,50,9078,472,0,0,0.0019384603526252685,0.011183754602877103,0.011634027076125075,0.05178137050209916,0.07278763225167076,0.010863961739943216
51,51,9078,472,0,0,0.001856302847352681,0.010674448020840789,0.011187926640060577,0.049584579514348824,0.06959918571012497,0.010228895632688544
52,52,9078,472,0,0,0.0017657428222909296,0.010123237520101129,0.010683853115300408,0.04716450390500687,0.06611341806798506,0.009575202635886975
53,53,9078,472,0,0,0.001669132415903653,0.009543159132228848,0.010136164721280063,0.0445836965314574,0.06241754466639597,0.00891506687822351
54,54,9078,472,0,0,0.001568628445597249,0.008946054904784152,0.009558243199062368,0.041899520938627734,0.05859112880461885,0.008258844536332853
55,55,9078,472,0,0,0.0014661591468967455,0.008342417378778591,0.008962231345108793,0.03916327030776863,0.054704962609663906,0.007615123288551688
56,56,9078,472,0,0,0.0013634070710658297,0.007741319410977212,0.008358877721280123,0.036419712898065386,0.05082052869856205,0.006990828994903567
57,57,9078,472,0,0,0.001261804888221886,0.007150411408977869,0.007757468838995055,0.03370697886665852,0.04698992286184632,0.006391363686232358
58,58,9078,472,0,0,0.0011625410845617198,0.006575969561276664,0.0071658300381460555,0.03105670934849616,0.04325612760467159,0.005820761873597825
59,59,9078,472,0,0,0.0010665728827601896,0.0060229806342734695,0.006590378022312677,0.028494397402663893,0.039653539351252126,0.0052818548991780696
60,60,9078,472,0,0,0.0009746440994480053,0.0054952510905733835,0.0060362101825854825,0.026039860422116708,0.036208666516404545,0.004776435463140079
61,61,9078,472,0,0,0.0008873060449914911,0.004995530463359292,0.005507218165763704,0.02370779383475337,0.032940930137739834,0.004305416542825749
62,62,9078,472,0,0,0.0008049399436362906,0.004525640974033834,0.005006215430396832,0.02150836571743866,0.02986351247120505,0.0038689806673114814
63,63,9078,472,0,0,0.0007277796913344752,0.004086607230447474,0.0045350706661573,0.01944782088648546,0.026984211360590697,0.0034667169380472925
64,64,9078,472,0,0,0.0006559340663715328,0.0036787814541906715,0.00409484085957317,0.017529070898110646,0.02430626903468252,0.003097744322943654
65,65,9078,472,0,0,0.0005894077614790051,0.0033019610473650316,0.003685899440375976,0.01575225310829933,0.021829153181263782,0.002760820631236913
66,66,9078,472,0,0,0.0005281208161460116,0.0029554964292943012,0.0033080563314176526,0.014115247514858384,0.019549275733910403,0.002454437236140769
67,67,9078,472,0,0,0.00047192619720396367,0.002638387970072614,0.002960667861941639,0.012614144606530452,0.017460640900410333,0.002176900087512703
68,68,9078,472,0,0,0.00042062540858331843,0.002349371545012363,0.0026427354099116925,0.011243660980876265,0.015555418718489637,0.0019263978810473825
69,69,9078,472,0,0,0.00037398211214162544,0.0020869927588572984,0.0023529923405444545,0.009997502186759436,0.013824444022145006,0.0017010584540758694
70,70,9078,472,0,0,0.00033173381547039847,0.0018496702681717637,0.002089979333692326,0.008868674225248377,0.012257643319727257,0.001498994587373708
71,71,9078,472,0,0,0.00029360173425051753,0.0016357488903557635,0.001852108570609423,0.00784974652683011,0.010844393894381795,0.001318340430077992
72,72,9078,472,0,0,0.00025929897031704875,0.0014435433517536096,0.0016377175075700484,0.00693307012587282,0.00957382059545953,0.0011572797498016424
73,73,9078,472,0,0,0.00022853716591767222,0.001271373616064333,0.001445113123936435,0.006110955275931779,0.00843503643511972,0.0010140671577953788
74,74,9078,472,0,0,0.00020103180299786878,0.0011175927655765838,0.0012726076168021344,0.005375812979107141,0.007417333357556847,0.0008870433819827204
75,75,9078,472,0,0,0.00017650631650501325,0.0009806083966457499,0.001118546541432424,0.0047202649132140825,0.006510329510245488,0.0007746455686417208
76,76,9078,472,0,0,0.00015469518497717794,0.0008588984496578544,0.000981330381596356,0.004137226093325134,0.00570407910076666,0.0006754134939321455
77,77,9078,472,0,0,0.00013534615193862043,0.0007510223324376058,0.0008594304890106211,0.0036199643490745256,0.00498915053660394,0.0005879924649739864
78,78,9078,472,0,0,0.00011822171934449286,0.0006556281225055598,0.0007514002665082039,0.003162140375507913,0.004356678072099968,0.0005111335908209638
79,79,9078,472,0,0,0.00010310004065255524,0.0005714565538219674,0.000655882393081376,0.002757831753962492,0.003798391667794252,0.00044369200925010896
80,80,9078,472,0,0,8.977532691881487e-05,0.0004973424122068111,0.0005716128066695322,0.0024015439637313546,0.0033066292336449143,0.00038462356761537534
81,81,9078,472,0,0,7.805786525519288e-05,0.00043221388378939993,0.0004974220769848386,0.0020882110322102752,0.0028743349018258294,0.0003329803761488773
82,82,9078,472,0,0,6.777373549952437e-05,0.0003750903249006845,0.00043223471904875184,0.001813188112915432,0.00249504647270113,0.0002879055805070721
83,83,9078,472,0,0,5.876429833134815e-05,0.0003250788512671802,0.0003750669207007762,0.00157223794527153,0.0021628747096502,0.00024862763710666643
84,84,9078,472,0,0,5.088551650293282e-05,0.0002813700800657038,0.0003250230855856598,0.001361512842341086,0.0018724767308529607,0.00021445431962216867
85,85,9078,472,0,0,4.400716043681912e-05,0.00024323330075426856,0.00028129152785884634,0.0011775335752365293,0.0016190253619612922,0.0001847666374690708
86,86,9078,472,0,0,3.801194019495325e-05,0.0002100112996603546,0.00024313959643820673,0.0010171662765896478,0.001398175973417223,0.0001590128065939642
87,87,9078,472,0,0,3.2794597728281155e-05,0.00018111501889090558,0.00020990845509314668,0.0008775982696070324,0.001206032028960258,0.00013670237877638053
88,88,9078,472,0,0,2.8260986314556453e-05,0.00015601819186796128,0.00018100769978021724,0.0007563135424938134,0.0010391103153716715,0.00011740060724555806
89,89,9078,472,0,0,2.432715810947955e-05,0.00013425206522475492,0.00015590995602085547,0.0006510684283703132,0.0008943066047546783,0.00010072310304492827
90,90,9078,472,0,0,2.091847568313746e-05,0.0001154002893933008,0.00013414556628437693,0.000559867915888421,0.0007688623162508645,8.633081759924553e-05
91,91,9078,472,0,0,1.7968759195308363e-05,9.909403742992953e-05,0.00011529744974526117,0.0004809429030729173,0.0006603325904683098,7.39253717357992e-05
92,92,9078,472,0,0,1.5419477384037194e-05,8.500739291324923e-05,9.89961938645249e-05,0.00041272861393076946,0.0005665560634664233,6.324473943567485e-05
93,93,9078,472,0,0,1.3218987709169629e-05,7.28530325865491e-05,8.491541844351681e-05,0.00035384432163093697,0.00048562652444620545,5.405928532797231e-05
94,94,9078,472,0,0,1.13218287186437e-05,6.237821731030964e-05,7.276743757897268e-05,0.00030307446122307326,0.00041586655907649233,4.6168147951706126e-05
95,95,9078,472,0,0,9.68806590926414e-06,5.3361095389457495e-05,6.229923281164794e-05,0.00025935116678681695,0.00035580321564816444,3.939595569040126e-05
96,96,9078,472,0,0,8.282690961745497e-06,4.560731503375713e-05,5.3288741246598575e-05,0.00022173823061578235,0.00030414568126588406,3.358985870051993e-05
97,97,9078,472,0,0,7.075073176206901e-06,3.89469372356803e-05,4.55414551188019e-05,0.00018941645379638226,0.0002597649176384959,2.8616857801476726e-05
98,98,9078,472,0,0,6.038461160783805e-06,3.323163638582888e-05,3.8887323813190185e-05,0.00016167033677919623,0.00022167517856951468,2.4361409928425798e-05
99,99,9078,472,0,0,5.149532281829545e-06,2.8332173214180032e-05,3.3177945400980155e-05,0.00013787604391647437,0.0001890173121162641,2.0723289148825998e-05
100,100,9078,472,0,0,4.387987025418882e-06,2.4136122904577785e-05,2.8284032041506552e-05,0.00011749056627133187,0.00016104373797056173,1.7615682238661096e-05
101,101,9078,472,0,0,3.7361852090828516e-06,2.054584027677868e-05,2.409313188057446e-05,0.00010004200130141143,0.00013710498354701676,1.4963498252379627e-05
102,102,9078,472,0,0,3.178820888082706e-06,1.747664359105407e-05,2.0507589144701162e-05,8.51208654260357e-05,0.00011663765938078457,1.2701872283722154e-05
103,103,9078,472,0,0,2.702632795572312e-06,1.4855198661664467e-05,1.7442723813987567e-05,7.237235529723452e-05,9.915375477265692e-05,1.0774844603153374e-05
104,104,9078,472,0,0,2.2961472185038447e-06,1.2618085447539672e-05,1.482521240816963e-05,6.148947521496554e-05,8.4231137365214e-05,9.134197495054508e-06
105,105,9078,472,0,0,1.949450323083142e-06,1.0710530023797683e-05,1.2591651922299634e-05,5.220695107575808e-05,7.150514483466732e-05,7.738433340610234e-06
106,106,9078,472,0,0,1.6539870900991354e-06,9.085285747089161e-06,1.0687289701494732e-05,4.429585512239273e-05,6.066116259978371e-05,6.551878752159115e-06
107,107,9078,472,0,0,1.4023841898350147e-06,7.701648448029426e-06,9.064902970024527e-06,3.755887025740818e-05,5.142808795789005e-05,5.5439008262126135e-06
108,108,9078,472,0,0,1.1882943090149456e-06,6.524591565331736e-06,7.68381276467491e-06,3.182612754006886e-05,4.357258801562622e-05,4.688222816248899e-06
109,109,9078,472,0,0,1.0062596310869822e-06,5.524008239814652e-06,6.509018116451432e-06,2.6951555511396377e-05,3.689406592760887e-05,3.962327714198693e-06
110,110,9078,472,0,0,8.515923604603702e-07,4.67404848297451e-06,5.5104374395715505e-06,2.2809685032544197e-05,3.122025708635517e-05,3.346939355766248e-06
111,111,9078,472,0,0,7.20270366906005e-07,3.952540602450332e-06,4.662245192932237e-06,1.929285826681935e-05,2.640338387295694e-05,2.8255717228721727e-06
112,112,9078,472,0,0,6.088462051315604e-07,3.3404870898016757e-06,3.942292955283658e-06,1.6308795201571234e-05,2.2316804272249878e-05,2.384138099025719e-06
113,113,9078,472,0,0,5.143679344178376e-07,2.8216261437296633e-06,3.33160508555712e-06,1.3778475636094744e-05,1.8852096000770472e-05,2.010612640530064e-06
114,114,9078,472,0,0,4.343103228454898e-07,2.382050907997833e-06,2.813940113885093e-06,1.1634298820835495e-05,1.5916523747982414e-05,1.6947377557017068e-06
115,115,9078,472,0,0,3.6651516907608233e-07,2.009879343333615e-06,2.375409919633265e-06,9.818486893167655e-06,1.3430842657525758e-05,1.4277714399554387e-06
116,116,9078,472,0,0,3.0913961179151814e-07,1.6949684265512475e-06,2.004149597917715e-06,8.28170191598336e-06,1.1327396273455036e-05,1.2022693988471442e-06
117,117,9078,472,0,0,2.6061142241980247e-07,1.4286670769143763e-06,1.6900316927147365e-06,6.981849676031793e-06,9.54847183826462e-06,1.0118974064435244e-06
118,118,9078,472,0,0,2.1959039122858432e-07,1.203602853023511e-06,1.4244191854034777e-06,5.883046455111166e-06,8.044880074703519e-06,8.512698989635553e-07
119,119,9078,472,0,0,1.849350204498159e-07,1.0134980444830697e-06,1.199952272544298e-06,4.954727754130674e-06,6.774730423819881e-06,7.158112973804986e-07
