,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
41,41,9846,100,0,0,0.00029498294885846446,0,0.0017143760011716638,0,0.0014909345097900237,0,0.004885445330608699,0,0.008099597965492103,0,0.006073297909351062,0
42,42,9846,100,0,0,0.00027453586593358375,0,0.0015873026937554863,0,0.0013865631416761011,0,0.004550053669710159,0,0.00753833530349529,0,0.00577849517689532,0
43,43,9846,100,0,0,0.000254261030057548,0,0.0014630250171856895,0,0.0012832540316285914,0,0.004216697568975657,0,0.0069814575015514965,0,0.005461267644698849,0
44,44,9846,100,0,0,0.00023440818604896733,0,0.001342765275599498,0,0.0011822550853470663,0,0.003889651242338192,0,0.006435958126880345,0,0.005129639518466828,0
45,45,9846,100,0,0,0.0002151790928602776,0,0.0012274761506164038,0,0.001084568826905158,0,0.003572377538895495,0,0.0059074781329112635,0,0.004790663830592154,0
46,46,9846,100,0,0,0.00019673124406184117,0,0.001117866920182532,0,0.000990972646734435,0,0.003267590414773691,0,0.005400414728865276,0,0.004450400455793224,0
47,47,9846,100,0,0,0.0001791822054267089,0,0.0010144316044620556,0,0.0009020418137305423,0,0.0029773278764880715,0,0.004918046318859649,0,0.004113934991188126,0
48,48,9846,100,0,0,0.000162614257851976,0,0.0009174775607491409,0,0.0008181737337730424,0,0.002703030128975,0,0.004462664960489548,0,0.003785427359756682,0
49,49,9846,100,0,0,0.00014707910369489576,0,0.000827153417652863,0,0.000739612285917681,0,0.002445618841529504,0,0.0040357097501859335,0,0.003468180705740699,0
50,50,9846,100,0,0,0.0001326024557871302,0,0.0007434755537022146,0,0.0006664713712777699,0,0.0022055744780350656,0,0.003637896245933801,0,0.0031647228327584646,0
51,51,9846,100,0,0,0.00011918838040655531,0,0.0006663525872994564,0,0.0005987570663787479,0,0.001983009515812723,0,0.00326933847764222,0,0.0028768940037154408,0
52,52,9846,100,0,0,0.00010682330851308422,0,0.000595607556758323,0,0.0005363879840108405,0,0.0017777361034243598,0,0.0029296612800988643,0,0.0026059363264756756,0
53,53,9846,100,0,0,9.547966421040433e-05,0,0.0005309976358231583,0,0.00047921361379945645,0,0.0015893272924161184,0,0.002618101632710407,0,0.002352581167857126,0
54,54,9846,100,0,0,8.511908654473725e-05,0,0.0004722313572204936,0,0.00042703054645306456,0,0.001417171435981946,0,0.002333598429939907,0,0.002117132066419605,0
55,55,9846,100,0,0,7.569524137318316e-05,0,0.00041898341031582314,0,0.00037959658499348925,0,0.0012605196954301875,0,0.0020748706648781564,0,0.001899541459424638,0
56,56,9846,100,0,0,6.715623512597008e-05,0,0.00037090714452954037,0,0.0003366428183112496,0,0.0011185268500132936,0,0.001840484414198575,0,0.0016994802163500737,0
57,57,9846,100,0,0,5.944665280574408e-05,0,0.00032764495308071345,0,0.00029788378194850744,0,0.0009902857832813925,0,0.0016289092928542183,0,0.0015163994994543553,0
58,58,9846,100,0,0,5.2509249391220086e-05,0,0.00028883673659134,0,0.0002630258624973336,0,0.0008748561344571596,0,0.0014385652258762734,0,0.0013495848716276876,0
59,59,9846,100,0,0,4.628632772225411e-05,0,0.00025412665719648037,0,0.0002317741193005997,0,0.0007712876695541135,0,0.00126786048424302,0,0.0011982028635190163,0
60,60,9846,100,0,0,4.0720837613347913e-05,0,0.0002231683945463616,0,0.00020383770360356772,0,0.0006786389554385957,0,0.001115221970691222,0,0.0010613404148868393,0
61,61,9846,100,0,0,3.575723094264166e-05,0,0.0001956291083432249,0,0.00017893405374185472,0,0.0005959919203682336,0,0.000979118735244847,0,0.0009380377366864138,0
62,62,9846,100,0,0,3.1342106264824454e-05,0,0.00017119230017654792,0,0.0001567920376837161,0,0.0005224628646609728,0,0.0008580796620821481,0,0.0008273152158850154,0
63,63,9846,100,0,0,2.7424674480608663e-05,0,0.0001495597522729307,0,0.00013715420314128015,0,0.0004572104514831264,0,0.0007507062095783665,0,0.0007281950175283662,0
64,64,9846,100,0,0,2.395707456517479e-05,0,0.00013045270381621094,0,0.0001197782820027424,0,0.00039944116538972833,0,0.0006556810121972486,0,0.0006397180391890302,0
65,65,9846,100,0,0,2.089456554781574e-05,0,0.00011361240782142926,0,0.0001044380811544705,0,0.00034841267915325705,0,0.0005717730727151073,0,0.0005609568506872943,0
66,66,9846,100,0,0,1.8195618022203927e-05,0,9.880019397517989e-05,0,9.092387671400166e-05,0,0.00030343552056433243,0,0.0004978401908338219,0,0.0004910252141929766,0
67,67,9846,100,0,0,1.58219255811643e-05,0,8.57971459593932e-05,0,7.904241390459522e-05,0,0.0002638733824676273,0,0.0004328291930579826,0,0.0004290847322732763,0
68,68,9846,100,0,0,1.3738353803026533e-05,0,7.44034859409716e-05,0,6.861660070328786e-05,0,0.00022914237284971098,0,0.00037577445120694425,0,0.0003743491186063486,0
69,69,9846,100,0,0,1.1912841829367246e-05,0,6.443774437291984e-05,0,5.9484970271102485e-05,0,0.00019870945834764986,0,0.0003257951047102124,0,0.0003260865312954261,0
