,day,edges,num_infected,num_new_infections,num_new_removed,All deaths,All cases,perc_above_left
31,31,18539,207,32,26,0.04993540641854358,32,0.9708029197080292
32,32,18393,219,40,28,0.05804359432456256,40,0.9708029197080292
33,33,18110,246,58,31,0.06676538403746728,58,0.9635036496350365
34,34,17780,293,81,31,0.07606456095497394,81,0.948905109489051
35,35,17629,290,34,36,0.08601140864415131,34,0.948905109489051
36,36,17351,328,79,41,0.0966011351699634,79,0.9343065693430657
37,37,17057,353,70,42,0.10797721641224568,70,0.9343065693430657
38,38,16783,365,61,47,0.12020909663784746,61,0.9343065693430657
39,39,16469,381,69,52,0.13335925645592248,69,0.9343065693430657
40,40,16064,420,96,54,0.14747122724580555,96,0.9343065693430657
41,41,15711,450,91,59,0.1626185213578836,91,0.9343065693430657
42,42,15500,439,55,64,0.17885083028871443,55,0.9343065693430657
43,43,15186,434,66,69,0.196118883072076,66,0.9343065693430657
44,44,14753,478,118,69,0.21434103643081098,118,0.9343065693430657
45,45,14426,488,89,77,0.23349268301417697,89,0.9343065693430657
46,46,14049,510,105,78,0.2534694039821854,105,0.9343065693430657
47,47,13600,523,101,78,0.2742652691859736,101,0.9343065693430657
48,48,13170,529,98,88,0.29584212075735616,98,0.9343065693430657
49,49,12787,525,93,90,0.31815255550906857,93,0.927007299270073
50,50,12386,505,81,92,0.34110536990308843,81,0.927007299270073
51,51,11899,516,115,93,0.3645326008907575,115,0.927007299270073
52,52,11501,511,102,102,0.38831813246055835,102,0.927007299270073
53,53,11180,484,83,98,0.41229143830910037,83,0.927007299270073
54,54,10840,445,73,94,0.43626086892241056,73,0.927007299270073
55,55,10498,405,74,100,0.4599824575047577,74,0.927007299270073
56,56,10144,377,86,94,0.48316982750912757,86,0.927007299270073
57,57,9707,367,104,98,0.5055487301110342,104,0.9197080291970803
58,58,9320,348,95,100,0.5269243600121343,95,0.9197080291970803
59,59,8943,328,93,91,0.5471530737593546,93,0.9197080291970803
60,60,8645,284,69,90,0.5661706190464888,69,0.9197080291970803
61,61,8375,239,66,89,0.5838833824624506,66,0.9197080291970803
62,62,8107,200,70,91,0.6001950226892262,70,0.9197080291970803
63,63,7884,151,57,88,0.6149919261624007,57,0.9197080291970803
64,64,7575,132,84,82,0.6281206856859584,84,0.9197080291970803
65,65,7360,96,64,78,0.6395238783086755,64,0.9197080291970803
66,66,7154,45,45,76,0.6491212496523273,45,0.9197080291970803
67,67,7027,41,41,33,0.6568438225138917,41,0.9197080291970803
68,68,6921,25,25,31,0.6626134543981721,25,0.9197080291970803
69,69,6875,15,15,19,0.6662926408857726,15,0.9197080291970803
70,70,6826,19,19,11,0.6677108696679002,19,0.9197080291970803
71,71,6777,16,16,15,0.6667041107892465,16,0.9197080291970803
72,72,6743,11,11,11,0.663125158612969,11,0.9197080291970803
73,73,6725,4,4,8,0.6568744588352996,4,0.9197080291970803
74,74,6717,3,3,4,0.6478996919643607,3,0.9197080291970803
75,75,6711,2,2,3,0.636209925990831,2,0.9197080291970803
76,76,6706,3,3,2,0.6218722132861665,3,0.9197080291970803
77,77,6697,1,1,3,0.605021122203408,1,0.9197080291970803
78,78,6695,2,2,1,0.585847288963284,2,0.9197080291970803
79,79,6690,2,2,2,0.5645989664422917,2,0.9197080291970803
80,80,6687,3,3,2,0.5415656790330526,3,0.9197080291970803
81,81,6684,3,3,3,0.5170712051027846,3,0.9197080291970803
82,82,6675,2,2,3,0.4914575326926012,2,0.9197080291970803
83,83,6663,4,4,1,0.4650696282620455,4,0.9197080291970803
84,84,6651,2,2,3,0.43825033819702014,2,0.9197080291970803
85,85,6649,2,2,1,0.41131839403453807,2,0.9197080291970803
86,86,6648,1,1,1,0.3845676053726469,1,0.9197080291970803
87,87,6641,4,4,1,0.3582539914640292,4,0.9197080291970803
88,88,6630,2,2,3,0.33260526003026464,2,0.9197080291970803
89,89,6626,2,2,2,0.3078070439138227,2,0.9197080291970803
90,90,6622,2,2,2,0.28401234583336554,2,0.9197080291970803
91,91,6616,2,2,2,0.26133801406849666,2,0.9197080291970803
92,92,6614,2,2,1,0.23986814159649397,2,0.9197080291970803
93,93,6611,2,2,2,0.21965735347851906,2,0.9197080291970803
94,94,6607,2,2,2,0.20073441793252686,2,0.9197080291970803
95,95,6598,2,2,1,0.18310591504410526,2,0.9197080291970803
96,96,6591,2,2,2,0.16675979439923655,2,0.9197080291970803
97,97,6589,2,2,1,0.15166871748512561,2,0.9197080291970803
98,98,6584,3,3,2,0.137793124182189,3,0.9197080291970803
99,99,6572,4,4,3,0.12508705443787754,4,0.9197080291970803
100,100,6569,2,2,3,0.11350160726465865,2,0.9197080291970803
101,101,6564,2,2,2,0.10297987158814796,2,0.9197080291970803
102,102,6554,4,4,2,0.09346230938392393,4,0.9197080291970803
103,103,6535,7,7,4,0.08488998422855915,7,0.9197080291970803
104,104,6500,12,12,6,0.07721224210595905,12,0.9197080291970803
105,105,6487,5,5,9,0.07039971443893826,5,0.9197080291970803
106,106,6480,3,3,4,0.06441427161024385,3,0.9197080291970803
107,107,6460,9,9,3,0.05921697897665666,9,0.9197080291970803
